證期會代碼,公司中文全稱,年月,收盤價(元)_月
2812,台中商業銀行                  ,201712,9.91
2816,旺旺友聯產物保險              ,201712,20.1
2820,中華票券金融                  ,201712,15.4
2823,中國人壽保險                  ,201712,29.95
2832,台灣產物保險                  ,201712,20.45
2834,臺灣中小企業銀行              ,201712,8.39
2836,高雄銀行                      ,201712,9.22
2838,聯邦商業銀行                  ,201712,9.26
2841,台灣土地開發                  ,201712,10.25
2845,遠東國際商業銀行              ,201712,9.54
2849,安泰商業銀行                  ,201712,13.3
2850,新光產物保險                  ,201712,28.7
2851,中央再保險                    ,201712,17.5
2852,第一產物保險                  ,201712,14.5
2855,統一綜合證券                  ,201712,14.35
2856,元富證券                      ,201712,8.7
2867,三商美邦人壽保險              ,201712,16.2
2880,華南金融控股                  ,201712,16.75
2881,富邦金融控股                  ,201712,50.7
2882,國泰金融控股                  ,201712,53.5
2883,中華開發金融控股              ,201712,10.15
2884,玉山金融控股                  ,201712,18.9
2885,元大金融控股                  ,201712,13.8
2886,兆豐金融控股                  ,201712,24.05
2887,台新金融控股                  ,201712,13.85
2888,新光金融控股                  ,201712,10.5
2889,國票金融控股                  ,201712,9.49
2890,永豐金融控股                  ,201712,9.67
2891,中國信託金融控股              ,201712,20.5
2892,第一金融控股                  ,201712,19.55
2901,欣欣大眾市場                  ,201712,26.4
2903,遠東百貨                      ,201712,15
2904,匯僑                          ,201712,19.55
2905,三商投資控股                  ,201712,25.25
2906,高林實業                      ,201712,11.2
2908,特力                          ,201712,22.9
2910,統領百貨                      ,201712,26.25
2911,麗嬰房                        ,201712,11.8
2912,統一超商                      ,201712,284
2913,台灣農林                      ,201712,15.45
2915,潤泰全球                      ,201712,50.6
2923,鼎固控股                      ,201712,18.35
3002,歐格電子工業                  ,201712,13
3003,健和興端子                    ,201712,63.5
3004,豐達科技                      ,201712,50.6
3005,神基科技                      ,201712,44.2
3006,晶豪科技                      ,201712,42.75
3008,大立光電                      ,201712,4020
3010,華立企業                      ,201712,55.8
3011,今皓實業                      ,201712,7.13
3013,晟銘電子科技                  ,201712,22.35
3014,聯陽半導體                    ,201712,35.55
3015,全漢企業                      ,201712,24.1
3016,嘉晶電子                      ,201712,32.5
3017,奇鋐科技                      ,201712,32.4
3018,同開科技工程                  ,201712,81.2
3019,亞洲光學                      ,201712,96.1
3021,鴻名企業                      ,201712,14.6
3022,威強電工業電腦                ,201712,39.3
3023,信邦電子                      ,201712,86.3
3024,憶聲電子                      ,201712,6.43
3025,星通資訊                      ,201712,19.8
3026,禾伸堂企業                    ,201712,112
3027,盛達電業                      ,201712,10.15
3028,增你強                        ,201712,20.05
3029,零壹科技                      ,201712,20.05
3030,德律科技                      ,201712,44.75
3031,佰鴻工業                      ,201712,17.4
3032,偉訓科技                      ,201712,38.8
3033,威健實業                      ,201712,19.15
3034,聯詠科技                      ,201712,113.5
3035,智原科技                      ,201712,57.9
3036,文曄科技                      ,201712,45.2
3037,欣興電子                      ,201712,16.3
3038,全台晶像                      ,201712,10
3040,遠見科技                      ,201712,47.65
3041,揚智科技                      ,201712,16.95
3042,台灣晶技                      ,201712,39.75
3043,科風                          ,201712,2.4
3044,健鼎科技                      ,201712,93
3045,台灣大哥大                    ,201712,107.5
3046,建碁                          ,201712,16.5
3047,訊舟科技                      ,201712,9.73
3048,益登科技                      ,201712,18.95
3049,和鑫光電                      ,201712,9
3050,鈺德科技                      ,201712,11.4
3051,力特光電科技                  ,201712,5.68
3052,夆典科技開發                  ,201712,8.69
3054,立萬利創新                    ,201712,18.4
3055,蔚華科技                      ,201712,25.05
3056,總太地產開發                  ,201712,19.15
3057,喬鼎資訊                      ,201712,11.05
3058,立德電子                      ,201712,8.91
3059,華晶科技                      ,201712,31.5
3060,銘異科技                      ,201712,26.9
3062,建漢科技                      ,201712,18.15
3090,日電貿                        ,201712,35.5
3094,聯傑國際                      ,201712,25.95
3130,一零四資訊科技                ,201712,163
3149,正達國際光電                  ,201712,19.3
3164,景岳生物科技                  ,201712,23
3189,景碩科技                      ,201712,54.2
3209,全科科技                      ,201712,20.1
3229,晟鈦                          ,201712,18
3231,緯創資通                      ,201712,23.95
3257,虹冠電子                      ,201712,47.9
3296,勝德國際研發                  ,201712,15.65
3305,昇貿科技                      ,201712,26.35
3308,聯德電子                      ,201712,8.44
3311,閎暉實業                      ,201712,18.7
3312,弘憶國際                      ,201712,6.91
3356,奇偶科技                      ,201712,39.05
3376,新日興                        ,201712,75
3380,明泰科技                      ,201712,23.8
3383,新世紀光電                    ,201712,3.44
3406,玉晶光電                      ,201712,269.5
3419,譁裕實業                      ,201712,19.1
3432,台端興業                      ,201712,11.4
3443,創意電子                      ,201712,255
3450,聯鈞光電                      ,201712,129.5
3454,晶睿通訊                      ,201712,96.7
3481,群創光電                      ,201712,12.4
3494,誠研科技                      ,201712,10.6
3501,維熹科技                      ,201712,57.8
3504,揚明光學                      ,201712,50.8
3514,昱晶能源科技                  ,201712,17.8
3515,華擎科技                      ,201712,68.6
3518,柏騰科技                      ,201712,34.7
3519,綠能科技                      ,201712,17.6
3532,台塑勝高科技                  ,201712,96.4
3533,嘉澤端子工業                  ,201712,202
3535,晶彩科技                      ,201712,12.15
3536,誠創科技                      ,201712,22
3545,敦泰電子                      ,201712,31.1
3550,聯穎科技                      ,201712,23.1
3557,嘉威光電科技                  ,201712,10.75
3561,昇陽光電科技                  ,201712,14.9
3576,新日光能源科技                ,201712,13.75
3579,尚志半導體                    ,201712,16
3583,辛耘企業                      ,201712,84.7
3588,通嘉科技                      ,201712,26.4
3591,艾笛森光電                    ,201712,15.4
3593,力銘科技                      ,201712,12.3
3596,智易科技                      ,201712,51.9
